timestamp,cpu_load_percent,ram_usage_percent,gpu_load_percent,gpu_temp_c,gpu_power_w
2026-08-16T04:34:55.052971,19.8,96,100,84,73.922
2026-08-16T04:34:56.057421,14.4,95.8,100,87,81.958
2026-08-16T04:34:57.058641,17.3,95.9,100,86,78.611
2026-08-16T04:34:58.060119,11.2,96,0,75,21.403
2026-08-16T04:34:59.061332,14.1,95.7,0,74,21.197
2026-08-16T04:35:00.063841,33.1,95.7,0,72,14.555
2026-08-16T04:35:01.068046,30.4,95.5,41,76,24.172
2026-08-16T04:35:02.069118,21,94.1,39,77,40.21
2026-08-16T04:35:03.070468,16.1,94.4,38,77,42.733
2026-08-16T04:35:04.075974,11.2,93.8,34,77,43.23
2026-08-16T04:35:05.077267,9.8,93.3,38,75,41.795
2026-08-16T04:35:06.078688,10.8,93.3,39,74,41.819
2026-08-16T04:35:07.080555,12.2,93.5,42,73,43.015
2026-08-16T04:35:08.083611,12.5,93.5,46,73,44.422
2026-08-16T04:35:09.084814,12.5,93.4,46,73,43.82
2026-08-16T04:35:10.085835,10.6,93.4,45,72,44.978
2026-08-16T04:35:11.086681,13.5,93.4,46,72,43.607
2026-08-16T04:35:12.087719,12.1,93,47,71,43.638
2026-08-16T04:35:13.088336,13.9,92,46,71,43.463
2026-08-16T04:35:14.089226,16.2,92.8,47,71,46.76
2026-08-16T04:35:15.090573,18.8,93,46,71,43.296
2026-08-16T04:35:16.091424,17,93.1,46,70,43.211
2026-08-16T04:35:17.092478,15.2,93.1,46,71,43.175
2026-08-16T04:35:18.093198,21,94.1,46,70,48.959
2026-08-16T04:35:19.094116,20.8,93.7,46,69,43.776
2026-08-16T04:35:20.096212,18.1,92.6,48,69,43.278
2026-08-16T04:35:21.097155,16.4,92.7,48,69,43.176
2026-08-16T04:35:22.098186,16.6,92.7,46,68,42.756
2026-08-16T04:35:23.099055,15,92.8,45,68,42.699
2026-08-16T04:35:24.104382,16,92.7,47,68,42.617
2026-08-16T04:35:25.107131,14.3,92.8,46,68,42.584
2026-08-16T04:35:26.108203,18.9,92.9,47,67,42.486
2026-08-16T04:35:27.109554,20.3,93.1,45,67,41.469
2026-08-16T04:35:28.111612,36.1,94.1,46,67,42.205
2026-08-16T04:35:29.112942,29.1,94.2,46,67,42.475
2026-08-16T04:35:30.113825,13.7,94.5,0,63,33.88
2026-08-16T04:35:31.114972,11.4,94.5,3,62,19.065
2026-08-16T04:35:32.116192,13.9,96.2,14,63,26.989
2026-08-16T04:35:33.117345,10.8,97.3,46,67,45.212
2026-08-16T04:35:34.118434,5.7,96.8,0,61,18.833
2026-08-16T04:35:35.119477,10,97.2,0,60,18.682
2026-08-16T04:35:36.120767,18.4,98.9,51,68,54.383
2026-08-16T04:35:37.122307,14.2,98.6,51,68,50.128
2026-08-16T04:35:38.123878,11.1,98.6,51,65,51.235
2026-08-16T04:35:39.124890,11.9,97.8,50,63,49.073
2026-08-16T04:35:40.126050,11.5,97.1,33,61,31.777
2026-08-16T04:35:41.127238,13.6,96.6,51,67,50.135
2026-08-16T04:35:42.131289,12.7,96.5,49,65,50.341
2026-08-16T04:35:43.132135,10.4,93.6,2,59,22.083
2026-08-16T04:35:44.133999,14.4,93.1,1,57,12.709
2026-08-16T04:35:45.134932,12.3,93.7,1,58,27.644
2026-08-16T04:35:46.136249,6.6,94.4,1,57,18.531
2026-08-16T04:35:47.137822,15.2,96.7,42,60,42.332
